ក្រុម,ថ្នាក់,ថ្នាក់រង,សេចក្ដីអធិប្បាយ,row_number
,,06200,ផលិតកម្មឧស្ម័នធម្មជាតិ,168
071,,,អាជីវកម្ម​រ៉ែដែក,169
,0710,,អាជីវកម្ម​រ៉ែដែក,170
,,07100,អាជីវកម្ម​រ៉ែដែក,171
072,,,អាជីវកម្មរ៉ែលោហ:ដែលមិនមែនដែក,172
,0729(1),,អាជីវកម្មរ៉ែលោហ:ដែលមិនមែនដែក,173
,,07291,អាជីវកម្ម​​រ៉ែ​សំណប៉ាហាំង ,174
,,07292,អាជីវកម្ម​រ៉ែទង់ដែង ,175
,,07293,​អាជីវកម្ម​​រ៉ែអាលុយមីញ៉ូមបុកស៊ីត ,176
,,07294,អាជីវកម្ម​រ៉ែ​ទីតានី​ញ៉ូម​អុក​ស៊ីត​,177
,,07295,អាជីវកម្មរ៉ែមាស,178
,,07299,អាជីវកម្មរ៉ែអលោហៈដទៃទៀតដែលពុំបានរាប់បញ្ចូល(២),179
081,,,ប្រតិបត្តិការទាញយកថ្ម ខ្សាច់ និងដី​ឥដ្ឋ,180
,0810(1),,ប្រតិបត្តិការយកថ្ម ខ្សាច់ និងដី​ឥដ្ឋ,181
,,08101,សកម្មភាពទាញយក បំបែក កាត់ និងអារនូវ​ផ្ទាំង​ថ្ម​​​​និង​ថ្ម​​សម្អាង​ ដូច​ជា ថ្ម​ម៉ាប ថ្ម​ក្រានីត ថ្មសំណង់ ខ្សាច់សំណង់និងដីល្បាយខ្សាច់ ។ល។,182
,,08102,សកម្មភាព​អាជីវកម្មថ្មកំបោរ,183
,,08103,សកម្មភាព​ទាញ ខ្សាច់​សម្រាប់​បម្រើក្នុងវិស័យឧស្សាហកម្ម និងសំណង់,184
,,08104,សកម្មភាព​ទាញយក​ថ្ម​​និង​គ្រួស,185
,,08105,សកម្មភាព​យក​ខ្សាច់​ប្រភេទ​ផ្សេង​ទៀត(២),186
,,08106,សកម្មភាព​​​យក​ដី​ឥដ្ឋ,187
089,,,ប្រតិបត្កិការធនធានរ៉ែ ដទៃទៀតដែលពុំបានរាប់បញ្ជូល,188
,0891(1),,សកម្មភាពអាជីវកម្មរ៉ែគីមីនិងរ៉ែសម្រាប់ធ្វើជីកសិកម្ម ,189
,,08911,សកម្មភាព​យក​រ៉ែផូហា្វតធម្មជាតិ ,190
,,08912,សកម្មភាពយក​រ៉ែ​បូរ៉ាត់​ធម្មជាតិ រ៉ែ​ម៉ាញ៉េស្យូម​ស៊ុលហ្វាត​​ធម្មជាតិ ,191
,,08913,សកម្មភាព​យក​រ៉ែ​ដែល​មាន​ពណ៌ដី រ៉ែ​ដែល​មាន​ធាតុ​កាល់​ស្យូម​ហ្វ្ល​រ៉ាយ និង​​រ៉ែ​ប្រភេទ​ផ្សេង​ទៀត​ ដែល​មាន​​ប្រយោជន៍​ខាង​ធ្វើ​ជា​សារធាតុ​គីមី​,192
,0892(2),,សកម្មភាព​​​ជីក​យក​រុក្ខជាតិ​រលួយ​(ដែល​​ប្រើ​សម្រាប់​ធ្វើ​ជី​ឬ​ដុត​ជំនួស​ធ្យូង),193
,,08920,សកម្មភាព​​​ជីក​យក​រុក្ខជាតិ​រលួយ​(ដែល​​ប្រើ​សម្រាប់​ធ្វើ​ជី​ឬ​ដុត​ជំនួស​ធ្យូង),194
,0893(3),,សកម្មភាពផលិតអំបិល,195
,,08931,សកម្មភាពផលិតអំបិលពីទឹកសមុទ្រឬប្រភពទឹកប្រៃដទៃទៀត,196
,,08932,សកម្មភាពបំបែក បន្សុទ្ធ និងរែងយកអំបិល របស់ផលិតករអំបិល,197
,0899,,សកម្មភាព​ផ្សេង​ទៀត​ នៃ​ប្រតិបត្តិការ​និង​អាជីវកម្ម​ធនធាន​រ៉ែ ដទៃ​ទៀត​ដែល​ពុំបានរាប់​បញ្ចូល,198
,,08991,សកម្មភាពយករ៉ែ​ធ្យូង​​ធម្ម​ជាតិ​ សម្រាប់​ធ្វើ​ខ្មៅ​ដៃ,199
,,08992,សកម្មភាពយក​រ៉ែ​ត្បូង​ថ្ម​មាន​តម្លៃ​,200
