Indicator,Sub-Indicator,Date,Value
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-06-01,9.130
Interest Rate on Deposits and Loans in USD,Overdraft,2021-06-01,6.860
Interest Rate on Deposits and Loans in USD,Credit Card,2021-06-01,
Interest Rate on Deposits and Loans in KHR,Term Loans,2021-07-01,0.040
Interest Rate on Deposits and Loans in KHR,Other Loans,2021-07-01,0.580
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2021-07-01,4.110
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2021-07-01,2.200
Interest Rate on Deposits and Loans in KHR,Term Deposits,2021-07-01,8.350
Interest Rate on Deposits and Loans in KHR,Other Deposits,2021-07-01,14.030
Interest Rate on Deposits and Loans in KHR,Overdraft,2021-07-01,11.040
Interest Rate on Deposits and Loans in KHR,Credit Card,2021-07-01,7.660
Interest Rate on Deposits and Loans in USD,Term Loans,2021-07-01,0.110
Interest Rate on Deposits and Loans in USD,Other Loans,2021-07-01,0.170
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-07-01,3.440
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-07-01,0.480
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-07-01,5.470
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-07-01,13.200
Interest Rate on Deposits and Loans in USD,Overdraft,2021-07-01,9.330
Interest Rate on Deposits and Loans in USD,Credit Card,2021-07-01,5.940
Interest Rate on Deposits and Loans in KHR,Term Loans,2021-07-01,0.340
Interest Rate on Deposits and Loans in KHR,Other Loans,2021-07-01,0.880
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2021-07-01,5.700
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2021-07-01,2.580
Interest Rate on Deposits and Loans in KHR,Term Deposits,2021-07-01,7.790
Interest Rate on Deposits and Loans in KHR,Other Deposits,2021-07-01,15.790
Interest Rate on Deposits and Loans in KHR,Overdraft,2021-07-01,10.490
Interest Rate on Deposits and Loans in KHR,Credit Card,2021-07-01,6.810
Interest Rate on Deposits and Loans in USD,Term Loans,2021-07-01,0.400
Interest Rate on Deposits and Loans in USD,Other Loans,2021-07-01,0.400
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-07-01,4.420
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-07-01,0.670
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-07-01,7.590
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-07-01,16.660
Interest Rate on Deposits and Loans in USD,Overdraft,2021-07-01,9.190
Interest Rate on Deposits and Loans in USD,Credit Card,2021-07-01,6.820
Interest Rate on Deposits and Loans in USD,Term Loans,2021-07-01,
Interest Rate on Deposits and Loans in KHR,Other Loans,2021-08-01,0.060
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2021-08-01,0.590
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2021-08-01,5.260
Interest Rate on Deposits and Loans in KHR,Term Deposits,2021-08-01,2.200
Interest Rate on Deposits and Loans in KHR,Other Deposits,2021-08-01,7.730
Interest Rate on Deposits and Loans in KHR,Overdraft,2021-08-01,14.540
Interest Rate on Deposits and Loans in KHR,Credit Card,2021-08-01,10.330
Interest Rate on Deposits and Loans in KHR,Term Loans,2021-08-01,6.400
Interest Rate on Deposits and Loans in USD,Other Loans,2021-08-01,0.080
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-08-01,0.150
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-08-01,3.510
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-08-01,0.390
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-08-01,6.440
Interest Rate on Deposits and Loans in USD,Overdraft,2021-08-01,15.870
Interest Rate on Deposits and Loans in USD,Credit Card,2021-08-01,9.260
Interest Rate on Deposits and Loans in USD,Term Loans,2021-08-01,5.980
Interest Rate on Deposits and Loans in KHR,Other Loans,2021-08-01,0.300
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2021-08-01,0.870
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2021-08-01,5.780
Interest Rate on Deposits and Loans in KHR,Term Deposits,2021-08-01,2.590
Interest Rate on Deposits and Loans in KHR,Other Deposits,2021-08-01,7.870
Interest Rate on Deposits and Loans in KHR,Overdraft,2021-08-01,15.740
Interest Rate on Deposits and Loans in KHR,Credit Card,2021-08-01,10.470
Interest Rate on Deposits and Loans in KHR,Term Loans,2021-08-01,6.890
Interest Rate on Deposits and Loans in USD,Other Loans,2021-08-01,0.420
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-08-01,0.410
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-08-01,4.420
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-08-01,0.710
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-08-01,7.540
Interest Rate on Deposits and Loans in USD,Overdraft,2021-08-01,16.550
Interest Rate on Deposits and Loans in USD,Credit Card,2021-08-01,9.170
Interest Rate on Deposits and Loans in USD,Term Loans,2021-08-01,6.860
Interest Rate on Deposits and Loans in USD,Other Loans,2021-08-01,
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2021-09-01,0.340
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2021-09-01,0.890
Interest Rate on Deposits and Loans in KHR,Term Deposits,2021-09-01,4.340
Interest Rate on Deposits and Loans in KHR,Other Deposits,2021-09-01,2.200
Interest Rate on Deposits and Loans in KHR,Overdraft,2021-09-01,8.280
Interest Rate on Deposits and Loans in KHR,Credit Card,2021-09-01,14.140
Interest Rate on Deposits and Loans in KHR,Term Loans,2021-09-01,10.780
Interest Rate on Deposits and Loans in KHR,Other Loans,2021-09-01,6.790
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-09-01,0.150
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-09-01,0.200
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-09-01,3.500
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-09-01,0.400
Interest Rate on Deposits and Loans in USD,Overdraft,2021-09-01,7.490
Interest Rate on Deposits and Loans in USD,Credit Card,2021-09-01,15.440
Interest Rate on Deposits and Loans in USD,Term Loans,2021-09-01,9.000
Interest Rate on Deposits and Loans in USD,Other Loans,2021-09-01,6.310
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2021-09-01,0.400
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2021-09-01,0.910
Interest Rate on Deposits and Loans in KHR,Term Deposits,2021-09-01,5.790
Interest Rate on Deposits and Loans in KHR,Other Deposits,2021-09-01,2.240
Interest Rate on Deposits and Loans in KHR,Overdraft,2021-09-01,7.890
Interest Rate on Deposits and Loans in KHR,Credit Card,2021-09-01,15.690
Interest Rate on Deposits and Loans in KHR,Term Loans,2021-09-01,10.430
Interest Rate on Deposits and Loans in KHR,Other Loans,2021-09-01,6.870
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-09-01,0.400
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-09-01,0.450
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-09-01,4.400
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-09-01,0.650
Interest Rate on Deposits and Loans in USD,Overdraft,2021-09-01,7.510
Interest Rate on Deposits and Loans in USD,Credit Card,2021-09-01,16.610
Interest Rate on Deposits and Loans in USD,Term Loans,2021-09-01,9.160
Interest Rate on Deposits and Loans in USD,Other Loans,2021-09-01,7.560
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-09-01,
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2021-10-01,0.350
Interest Rate on Deposits and Loans in KHR,Term Deposits,2021-10-01,0.890
Interest Rate on Deposits and Loans in KHR,Other Deposits,2021-10-01,4.390
Interest Rate on Deposits and Loans in KHR,Overdraft,2021-10-01,2.180
Interest Rate on Deposits and Loans in KHR,Credit Card,2021-10-01,7.760
Interest Rate on Deposits and Loans in KHR,Term Loans,2021-10-01,13.820
Interest Rate on Deposits and Loans in KHR,Other Loans,2021-10-01,11.040
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2021-10-01,5.610
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-10-01,0.200
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-10-01,0.210
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-10-01,3.580
Interest Rate on Deposits and Loans in USD,Overdraft,2021-10-01,0.430
Interest Rate on Deposits and Loans in USD,Credit Card,2021-10-01,5.530
Interest Rate on Deposits and Loans in USD,Term Loans,2021-10-01,15.800
Interest Rate on Deposits and Loans in USD,Other Loans,2021-10-01,8.670
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-10-01,5.820
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2021-10-01,0.340
Interest Rate on Deposits and Loans in KHR,Term Deposits,2021-10-01,0.900
Interest Rate on Deposits and Loans in KHR,Other Deposits,2021-10-01,5.780
Interest Rate on Deposits and Loans in KHR,Overdraft,2021-10-01,2.200
Interest Rate on Deposits and Loans in KHR,Credit Card,2021-10-01,7.850
Interest Rate on Deposits and Loans in KHR,Term Loans,2021-10-01,15.680
Interest Rate on Deposits and Loans in KHR,Other Loans,2021-10-01,10.630
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2021-10-01,6.800
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-10-01,0.390
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-10-01,0.470
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-10-01,4.370
Interest Rate on Deposits and Loans in USD,Overdraft,2021-10-01,0.580
Interest Rate on Deposits and Loans in USD,Credit Card,2021-10-01,7.500
Interest Rate on Deposits and Loans in USD,Term Loans,2021-10-01,16.520
Interest Rate on Deposits and Loans in USD,Other Loans,2021-10-01,9.120
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-10-01,6.830
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-10-01,
Interest Rate on Deposits and Loans in KHR,Term Deposits,2021-11-01,0.310
Interest Rate on Deposits and Loans in KHR,Other Deposits,2021-11-01,1.040
Interest Rate on Deposits and Loans in KHR,Overdraft,2021-11-01,4.240
Interest Rate on Deposits and Loans in KHR,Credit Card,2021-11-01,2.150
Interest Rate on Deposits and Loans in KHR,Term Loans,2021-11-01,7.190
Interest Rate on Deposits and Loans in KHR,Other Loans,2021-11-01,13.070
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2021-11-01,10.850
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2021-11-01,6.870
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-11-01,0.170
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-11-01,0.240
Interest Rate on Deposits and Loans in USD,Overdraft,2021-11-01,3.670
Interest Rate on Deposits and Loans in USD,Credit Card,2021-11-01,0.400
Interest Rate on Deposits and Loans in USD,Term Loans,2021-11-01,5.930
Interest Rate on Deposits and Loans in USD,Other Loans,2021-11-01,16.700
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-11-01,9.100
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-11-01,6.270
Interest Rate on Deposits and Loans in KHR,Term Deposits,2021-11-01,0.340
Interest Rate on Deposits and Loans in KHR,Other Deposits,2021-11-01,0.990
Interest Rate on Deposits and Loans in KHR,Overdraft,2021-11-01,5.820
Interest Rate on Deposits and Loans in KHR,Credit Card,2021-11-01,2.180
Interest Rate on Deposits and Loans in KHR,Term Loans,2021-11-01,7.800
Interest Rate on Deposits and Loans in KHR,Other Loans,2021-11-01,15.460
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2021-11-01,10.610
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2021-11-01,6.790
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-11-01,0.400
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-11-01,0.490
Interest Rate on Deposits and Loans in USD,Overdraft,2021-11-01,4.450
Interest Rate on Deposits and Loans in USD,Credit Card,2021-11-01,0.580
Interest Rate on Deposits and Loans in USD,Term Loans,2021-11-01,7.460
Interest Rate on Deposits and Loans in USD,Other Loans,2021-11-01,16.440
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-11-01,9.240
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-11-01,6.890
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-11-01,
Interest Rate on Deposits and Loans in KHR,Other Deposits,2021-12-01,0.350
Interest Rate on Deposits and Loans in KHR,Overdraft,2021-12-01,1.050
Interest Rate on Deposits and Loans in KHR,Credit Card,2021-12-01,4.790
Interest Rate on Deposits and Loans in KHR,Term Loans,2021-12-01,2.200
Interest Rate on Deposits and Loans in KHR,Other Loans,2021-12-01,6.320
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2021-12-01,13.840
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2021-12-01,10.180
Interest Rate on Deposits and Loans in KHR,Term Deposits,2021-12-01,7.000
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-12-01,0.180
Interest Rate on Deposits and Loans in USD,Overdraft,2021-12-01,0.210
Interest Rate on Deposits and Loans in USD,Credit Card,2021-12-01,3.980
Interest Rate on Deposits and Loans in USD,Term Loans,2021-12-01,3.930
Interest Rate on Deposits and Loans in USD,Other Loans,2021-12-01,5.970
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-12-01,17.270
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-12-01,9.090
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-12-01,5.930
Interest Rate on Deposits and Loans in KHR,Other Deposits,2021-12-01,0.470
Interest Rate on Deposits and Loans in KHR,Overdraft,2021-12-01,1.020
Interest Rate on Deposits and Loans in KHR,Credit Card,2021-12-01,5.850
Interest Rate on Deposits and Loans in KHR,Term Loans,2021-12-01,2.200
Interest Rate on Deposits and Loans in KHR,Other Loans,2021-12-01,8.260
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2021-12-01,15.300
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2021-12-01,10.520
Interest Rate on Deposits and Loans in KHR,Term Deposits,2021-12-01,6.670
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-12-01,0.400
Interest Rate on Deposits and Loans in USD,Overdraft,2021-12-01,0.470
Interest Rate on Deposits and Loans in USD,Credit Card,2021-12-01,4.530
Interest Rate on Deposits and Loans in USD,Term Loans,2021-12-01,3.280
Interest Rate on Deposits and Loans in USD,Other Loans,2021-12-01,7.470
Interest Rate on Deposits and Loans in USD,Demand Deposits,2021-12-01,16.620
Interest Rate on Deposits and Loans in USD,Saving Deposits,2021-12-01,9.180
Interest Rate on Deposits and Loans in USD,Term Deposits,2021-12-01,6.830
Interest Rate on Deposits and Loans in USD,Other Deposits,2021-12-01,
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-01-01,0.380
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-01-01,1.080
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-01-01,5.510
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-01-01,5.830
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-01-01,13.000
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-01-01,13.260
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-01-01,11.490
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-01-01,6.970
Interest Rate on Deposits and Loans in USD,Overdraft,2022-01-01,0.130
Interest Rate on Deposits and Loans in USD,Credit Card,2022-01-01,0.200
Interest Rate on Deposits and Loans in USD,Term Loans,2022-01-01,3.490
Interest Rate on Deposits and Loans in USD,Other Loans,2022-01-01,3.990
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-01-01,6.010
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-01-01,18.460
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-01-01,9.250
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-01-01,6.150
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-01-01,0.400
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-01-01,1.060
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-01-01,6.060
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-01-01,5.670
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-01-01,8.300
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-01-01,15.050
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-01-01,10.660
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-01-01,6.630
Interest Rate on Deposits and Loans in USD,Overdraft,2022-01-01,0.370
Interest Rate on Deposits and Loans in USD,Credit Card,2022-01-01,0.460
Interest Rate on Deposits and Loans in USD,Term Loans,2022-01-01,4.680
Interest Rate on Deposits and Loans in USD,Other Loans,2022-01-01,2.780
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-01-01,7.460
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-01-01,16.640
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-01-01,9.200
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-01-01,6.830
Interest Rate on Deposits and Loans in USD,Overdraft,2022-01-01,
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-02-01,0.360
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-02-01,1.070
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-02-01,5.540
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-02-01,5.980
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-02-01,12.700
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-02-01,14.530
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-02-01,11.540
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-02-01,6.220
Interest Rate on Deposits and Loans in USD,Credit Card,2022-02-01,0.170
Interest Rate on Deposits and Loans in USD,Term Loans,2022-02-01,0.280
Interest Rate on Deposits and Loans in USD,Other Loans,2022-02-01,3.940
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-02-01,3.910
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-02-01,5.820
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-02-01,16.660
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-02-01,9.510
Interest Rate on Deposits and Loans in USD,Overdraft,2022-02-01,5.690
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-02-01,0.420
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-02-01,1.040
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-02-01,6.090
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-02-01,5.760
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-02-01,8.390
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-02-01,14.960
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-02-01,10.620
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-02-01,6.520
Interest Rate on Deposits and Loans in USD,Credit Card,2022-02-01,0.350
Interest Rate on Deposits and Loans in USD,Term Loans,2022-02-01,0.450
Interest Rate on Deposits and Loans in USD,Other Loans,2022-02-01,4.550
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-02-01,2.700
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-02-01,7.450
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-02-01,16.420
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-02-01,9.190
Interest Rate on Deposits and Loans in USD,Overdraft,2022-02-01,6.770
Interest Rate on Deposits and Loans in USD,Credit Card,2022-02-01,
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-03-01,0.310
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-03-01,1.020
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-03-01,5.710
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-03-01,0.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-03-01,11.110
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-03-01,14.630
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-03-01,11.290
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-03-01,7.450
Interest Rate on Deposits and Loans in USD,Term Loans,2022-03-01,0.170
Interest Rate on Deposits and Loans in USD,Other Loans,2022-03-01,0.210
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-03-01,3.820
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-03-01,4.080
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-03-01,6.150
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-03-01,16.770
Interest Rate on Deposits and Loans in USD,Overdraft,2022-03-01,9.150
Interest Rate on Deposits and Loans in USD,Credit Card,2022-03-01,5.950
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-03-01,0.450
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-03-01,1.030
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-03-01,6.150
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-03-01,5.790
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-03-01,8.450
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-03-01,14.930
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-03-01,10.600
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-03-01,6.520
Interest Rate on Deposits and Loans in USD,Term Loans,2022-03-01,0.360
Interest Rate on Deposits and Loans in USD,Other Loans,2022-03-01,0.460
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-03-01,4.520
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-03-01,1.390
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-03-01,7.430
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-03-01,16.330
Interest Rate on Deposits and Loans in USD,Overdraft,2022-03-01,9.180
Interest Rate on Deposits and Loans in USD,Credit Card,2022-03-01,6.840
Interest Rate on Deposits and Loans in USD,Term Loans,2022-03-01,
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-04-01,0.700
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-04-01,1.510
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-04-01,6.010
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-04-01,5.810
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-04-01,15.080
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-04-01,14.390
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-04-01,10.850
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-04-01,6.240
Interest Rate on Deposits and Loans in USD,Other Loans,2022-04-01,0.280
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-04-01,0.330
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-04-01,3.870
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-04-01,3.990
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-04-01,5.810
Interest Rate on Deposits and Loans in USD,Overdraft,2022-04-01,17.440
Interest Rate on Deposits and Loans in USD,Credit Card,2022-04-01,9.180
Interest Rate on Deposits and Loans in USD,Term Loans,2022-04-01,6.190
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-04-01,0.640
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-04-01,0.980
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-04-01,6.190
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-04-01,5.800
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-04-01,8.590
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-04-01,14.870
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-04-01,10.580
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-04-01,6.510
Interest Rate on Deposits and Loans in USD,Other Loans,2022-04-01,0.370
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-04-01,0.480
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-04-01,4.610
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-04-01,2.960
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-04-01,7.430
Interest Rate on Deposits and Loans in USD,Overdraft,2022-04-01,16.470
Interest Rate on Deposits and Loans in USD,Credit Card,2022-04-01,9.170
Interest Rate on Deposits and Loans in USD,Term Loans,2022-04-01,6.810
Interest Rate on Deposits and Loans in USD,Other Loans,2022-04-01,
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-05-01,0.110
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-05-01,0.770
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-05-01,5.930
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-05-01,5.890
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-05-01,11.740
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-05-01,10.890
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-05-01,12.040
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-05-01,7.330
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-05-01,0.210
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-05-01,0.440
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-05-01,4.020
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-05-01,3.950
Interest Rate on Deposits and Loans in USD,Overdraft,2022-05-01,6.420
Interest Rate on Deposits and Loans in USD,Credit Card,2022-05-01,17.530
Interest Rate on Deposits and Loans in USD,Term Loans,2022-05-01,8.030
Interest Rate on Deposits and Loans in USD,Other Loans,2022-05-01,6.350
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-05-01,0.450
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-05-01,1.000
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-05-01,6.240
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-05-01,5.730
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-05-01,8.620
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-05-01,14.830
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-05-01,9.920
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-05-01,6.420
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-05-01,0.410
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-05-01,0.550
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-05-01,4.680
Interest Rate on Deposits and Loans in USD,Other Deposits,2022-05-01,2.010
Interest Rate on Deposits and Loans in USD,Overdraft,2022-05-01,7.490
Interest Rate on Deposits and Loans in USD,Credit Card,2022-05-01,16.460
Interest Rate on Deposits and Loans in USD,Term Loans,2022-05-01,8.980
Interest Rate on Deposits and Loans in USD,Other Loans,2022-05-01,6.800
Interest Rate on Deposits and Loans in USD,Demand Deposits,2022-05-01,
Interest Rate on Deposits and Loans in KHR,Saving Deposits,2022-06-01,0.120
Interest Rate on Deposits and Loans in KHR,Term Deposits,2022-06-01,0.730
Interest Rate on Deposits and Loans in KHR,Other Deposits,2022-06-01,5.780
Interest Rate on Deposits and Loans in KHR,Overdraft,2022-06-01,5.970
Interest Rate on Deposits and Loans in KHR,Credit Card,2022-06-01,12.030
Interest Rate on Deposits and Loans in KHR,Term Loans,2022-06-01,14.170
Interest Rate on Deposits and Loans in KHR,Other Loans,2022-06-01,11.020
Interest Rate on Deposits and Loans in KHR,Demand Deposits,2022-06-01,5.870
Interest Rate on Deposits and Loans in USD,Saving Deposits,2022-06-01,0.170
Interest Rate on Deposits and Loans in USD,Term Deposits,2022-06-01,0.230
